== MERGED ==
72612/44930 cov=100.0% [657..805m] @(49.1494,19.4348)
72612/44931 cov=100.0% [713..899m] @(49.1476,19.4348)
72613/44930 cov=100.0% [652..760m] @(49.1494,19.4376)
72613/44931 cov=100.0% [650..824m] @(49.1476,19.4376)
72612/44932 cov=100.0% [807..896m] @(49.1458,19.4348)
72612/44933 cov=100.0% [718..816m] @(49.1440,19.4348)
72613/44932 cov=100.0% [711..852m] @(49.1458,19.4376)
72613/44933 cov=100.0% [683..815m] @(49.1440,19.4376)
72612/44934 cov=100.0% [708..781m] @(49.1422,19.4348)
72612/44935 cov=100.0% [714..790m] @(49.1404,19.4348)
72613/44934 cov=100.0% [674..722m] @(49.1422,19.4376)
72613/44935 cov=100.0% [699..766m] @(49.1404,19.4376)
72612/44936 cov=100.0% [766..801m] @(49.1386,19.4348)
72612/44937 cov=100.0% [749..793m] @(49.1368,19.4348)
72613/44936 cov=100.0% [746..796m] @(49.1386,19.4376)
72613/44937 cov=100.0% [760..796m] @(49.1368,19.4376)
72612/44938 cov=100.0% [718..760m] @(49.1350,19.4348)
72614/44930 cov=100.0% [673..840m] @(49.1494,19.4403)
72614/44931 cov=100.0% [645..746m] @(49.1476,19.4403)
72615/44930 cov=100.0% [747..914m] @(49.1494,19.4431)
72615/44931 cov=100.0% [662..839m] @(49.1476,19.4431)
72614/44932 cov=100.0% [642..782m] @(49.1458,19.4403)
72614/44933 cov=100.0% [654..781m] @(49.1440,19.4403)
72615/44932 cov=100.0% [639..747m] @(49.1458,19.4431)
72615/44933 cov=100.0% [636..699m] @(49.1440,19.4431)
72614/44934 cov=100.0% [660..706m] @(49.1422,19.4403)
72614/44935 cov=100.0% [695..747m] @(49.1404,19.4403)
72615/44934 cov=100.0% [645..695m] @(49.1422,19.4431)
72615/44935 cov=100.0% [675..734m] @(49.1404,19.4431)
72614/44936 cov=100.0% [734..791m] @(49.1386,19.4403)
72614/44937 cov=100.0% [760..796m] @(49.1368,19.4403)
72615/44936 cov=100.0% [713..767m] @(49.1386,19.4431)
72616/44930 cov=100.0% [816..921m] @(49.1494,19.4458)
72616/44931 cov=100.0% [713..843m] @(49.1476,19.4458)
72617/44930 cov=100.0% [766..884m] @(49.1494,19.4485)
72617/44931 cov=100.0% [700..816m] @(49.1476,19.4485)
72616/44932 cov=100.0% [649..752m] @(49.1458,19.4458)
72616/44933 cov=100.0% [632..668m] @(49.1440,19.4458)
72617/44932 cov=100.0% [653..712m] @(49.1458,19.4485)
72617/44933 cov=100.0% [628..667m] @(49.1440,19.4485)
72616/44934 cov=100.0% [632..675m] @(49.1422,19.4458)
72616/44935 cov=100.0% [660..714m] @(49.1404,19.4458)
72617/44934 cov=100.0% [626..660m] @(49.1422,19.4485)
72617/44935 cov=100.0% [637..685m] @(49.1404,19.4485)
72618/44930 cov=100.0% [742..859m] @(49.1494,19.4513)
72618/44931 cov=100.0% [704..769m] @(49.1476,19.4513)
72619/44930 cov=100.0% [745..809m] @(49.1494,19.4540)
72619/44931 cov=100.0% [703..755m] @(49.1476,19.4540)
72618/44932 cov=100.0% [665..713m] @(49.1458,19.4513)
72618/44933 cov=100.0% [629..671m] @(49.1440,19.4513)
72619/44932 cov=100.0% [667..722m] @(49.1458,19.4540)
72619/44933 cov=100.0% [638..674m] @(49.1440,19.4540)
72618/44934 cov=100.0% [623..638m] @(49.1422,19.4513)
72619/44934 cov=99.6% [619..643m] @(49.1422,19.4540)
72620/44930 cov=100.0% [737..796m] @(49.1494,19.4568)
72620/44931 cov=100.0% [687..749m] @(49.1476,19.4568)
72621/44930 cov=100.0% [742..792m] @(49.1494,19.4595)
72621/44931 cov=100.0% [690..752m] @(49.1476,19.4595)
72620/44932 cov=100.0% [661..722m] @(49.1458,19.4568)
72620/44933 cov=100.0% [631..675m] @(49.1440,19.4568)
72621/44932 cov=100.0% [652..704m] @(49.1458,19.4595)
72622/44930 cov=100.0% [698..754m] @(49.1494,19.4623)
72622/44931 cov=100.0% [677..742m] @(49.1476,19.4623)
72623/44930 cov=100.0% [669..712m] @(49.1494,19.4650)
72623/44931 cov=100.0% [658..698m] @(49.1476,19.4650)
72622/44932 cov=100.0% [644..700m] @(49.1458,19.4623)
72624/44930 cov=100.0% [667..699m] @(49.1494,19.4678)
72625/44930 cov=100.0% [675..709m] @(49.1494,19.4705)
72634/44869 cov=100.0% [842..906m] @(49.2588,19.4952)
72634/44870 cov=100.0% [901..945m] @(49.2571,19.4952)
72634/44871 cov=100.0% [882..948m] @(49.2553,19.4952)
72634/44872 cov=100.0% [796..904m] @(49.2535,19.4952)
72634/44873 cov=100.0% [733..836m] @(49.2517,19.4952)
72634/44874 cov=100.0% [689..761m] @(49.2499,19.4952)
72634/44875 cov=100.0% [678..767m] @(49.2481,19.4952)
72634/44876 cov=100.0% [732..817m] @(49.2463,19.4952)
72634/44877 cov=100.0% [773..857m] @(49.2445,19.4952)
72634/44878 cov=100.0% [792..863m] @(49.2427,19.4952)
72634/44879 cov=100.0% [734..847m] @(49.2409,19.4952)
72634/44880 cov=100.0% [695..787m] @(49.2391,19.4952)
72634/44881 cov=100.0% [703..770m] @(49.2373,19.4952)
72634/44882 cov=100.0% [763..824m] @(49.2355,19.4952)
72634/44883 cov=100.0% [742..827m] @(49.2337,19.4952)
72634/44884 cov=100.0% [689..791m] @(49.2319,19.4952)
72634/44885 cov=100.0% [689..730m] @(49.2302,19.4952)
72634/44886 cov=100.0% [711..759m] @(49.2284,19.4952)
72634/44887 cov=100.0% [744..797m] @(49.2266,19.4952)
72634/44888 cov=100.0% [767..830m] @(49.2248,19.4952)
72634/44889 cov=100.0% [798..852m] @(49.2230,19.4952)
72634/44890 cov=100.0% [828..872m] @(49.2212,19.4952)
72634/44891 cov=100.0% [862..911m] @(49.2194,19.4952)
72634/44892 cov=100.0% [834..914m] @(49.2176,19.4952)
72634/44893 cov=100.0% [796..901m] @(49.2158,19.4952)
72634/44894 cov=100.0% [789..893m] @(49.2140,19.4952)
72634/44895 cov=100.0% [810..895m] @(49.2122,19.4952)
72634/44896 cov=100.0% [809..876m] @(49.2104,19.4952)
72634/44897 cov=100.0% [785..846m] @(49.2086,19.4952)
72634/44898 cov=100.0% [787..845m] @(49.2068,19.4952)
72634/44899 cov=100.0% [837..877m] @(49.2050,19.4952)
72634/44900 cov=100.0% [867..907m] @(49.2032,19.4952)
72634/44901 cov=100.0% [892..942m] @(49.2014,19.4952)
72634/44902 cov=100.0% [914..962m] @(49.1997,19.4952)
72634/44903 cov=100.0% [929..979m] @(49.1979,19.4952)
72634/44904 cov=100.0% [969..1004m] @(49.1961,19.4952)
72634/44905 cov=100.0% [956..995m] @(49.1943,19.4952)
72634/44906 cov=100.0% [944..969m] @(49.1925,19.4952)
72634/44907 cov=100.0% [936..951m] @(49.1907,19.4952)
72634/44908 cov=100.0% [934..949m] @(49.1889,19.4952)
72634/44909 cov=100.0% [926..942m] @(49.1871,19.4952)
72634/44910 cov=100.0% [922..940m] @(49.1853,19.4952)
72634/44911 cov=100.0% [929..951m] @(49.1835,19.4952)
72634/44912 cov=100.0% [921..979m] @(49.1817,19.4952)
72634/44913 cov=100.0% [958..1077m] @(49.1799,19.4952)
72634/44914 cov=100.0% [1047..1169m] @(49.1781,19.4952)
72634/44915 cov=100.0% [1085..1238m] @(49.1763,19.4952)
72634/44916 cov=100.0% [1010..1179m] @(49.1745,19.4952)
72634/44917 cov=100.0% [1021..1176m] @(49.1727,19.4952)
72634/44918 cov=100.0% [996..1171m] @(49.1709,19.4952)
72634/44919 cov=100.0% [1040..1190m] @(49.1691,19.4952)
72634/44920 cov=100.0% [918..1088m] @(49.1673,19.4952)
72634/44921 cov=100.0% [814..1013m] @(49.1655,19.4952)
72634/44922 cov=100.0% [750..931m] @(49.1637,19.4952)
72634/44923 cov=100.0% [653..830m] @(49.1620,19.4952)
72634/44924 cov=100.0% [637..746m] @(49.1602,19.4952)
72634/44925 cov=100.0% [629..677m] @(49.1584,19.4952)
72634/44926 cov=100.0% [624..646m] @(49.1566,19.4952)
72634/44927 cov=100.0% [619..666m] @(49.1548,19.4952)
72706/44935 cov=99.4% [857..873m] @(49.1404,19.6930)
72716/44942 cov=99.1% [824..867m] @(49.1278,19.7205)
72767/44939 cov=99.2% [927..944m] @(49.1332,19.8605)
72784/44887 cov=100.0% [1684..1844m] @(49.2266,19.9072)
72784/44888 cov=100.0% [1628..1876m] @(49.2248,19.9072)
72784/44889 cov=100.0% [1589..1752m] @(49.2230,19.9072)
72784/44890 cov=100.0% [1566..1633m] @(49.2212,19.9072)
72784/44891 cov=100.0% [1576..1623m] @(49.2194,19.9072)
72793/44938 cov=99.5% [940..995m] @(49.1350,19.9319)
72835/44909 cov=100.0% [1899..2081m] @(49.1871,20.0473)
72836/44909 cov=100.0% [2028..2287m] @(49.1871,20.0500)
72837/44909 cov=100.0% [2087..2314m] @(49.1871,20.0528)
72837/44953 cov=99.3% [1045..1101m] @(49.1080,20.0528)
72838/44909 cov=100.0% [2076..2364m] @(49.1871,20.0555)
72839/44909 cov=100.0% [2158..2438m] @(49.1871,20.0583)
72838/44910 cov=100.0% [1985..2158m] @(49.1853,20.0555)
72839/44910 cov=100.0% [2033..2314m] @(49.1853,20.0583)
72839/44911 cov=100.0% [1957..2193m] @(49.1835,20.0583)
72864/44950 cov=99.1% [1004..1040m] @(49.1134,20.1270)
72877/44943 cov=99.3% [1071..1117m] @(49.1260,20.1627)
72936/44891 cov=99.4% [765..793m] @(49.2194,20.3247)
